date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 11:55:00,60026.02,60054.43,60026.02,60047.97,0.04234,44.30118872576742,-65.99479678249918,-75.24174458075794,9.24694779825876,83.11503775057666,70.36647700826194,0
2024-08-09 11:56:00,60023.05,60023.05,59909.16,59940.95,0.02697,37.40918809855037,-69.52114328421885,-74.09762432145013,4.576481037231275,70.92000359918872,74.81999687285479,Close Trade
2024-08-09 11:57:00,59938.16,59988.53,59931.96,59931.96,0.1028,36.89000791758135,-72.20883762849553,-73.7198669828592,1.5110293543636715,44.41329562676326,66.14944565884288,0
2024-08-09 11:58:00,59937.67,59956.94,59937.67,59945.88,0.00899,38.31747529229981,-72.38126097367785,-73.45214578102294,1.070884807345081,26.35475778336253,47.22935233643816,0
2024-08-09 11:59:00,59938.87,59938.87,59871.77,59900.65,0.77135,35.5071540530063,-75.29958398231247,-73.82163342128084,-1.4779505610316335,20.614517350259224,30.460856920128336,0
2024-08-09 12:00:00,59873.69,59910.25,59873.69,59910.25,0.02132,36.57051232015452,-75.96209250494576,-74.24972523801382,-1.7123672669319348,19.650296151987572,22.206523761869775,0
2024-08-09 12:01:00,59958.7,59969.11,59958.7,59969.11,0.04681,42.79800148248784,-70.92010240154923,-73.5838006707209,2.6636982691716753,33.172292595084215,24.479035365777005,Open Trade
2024-08-09 12:02:00,59976.3,59976.3,59895.89,59907.01,0.06244,38.50291944622558,-71.11546511367487,-73.0901335593117,1.9746684456368229,42.213357700377834,31.67864881581654,0
2024-08-09 12:03:00,59906.11,59913.38,59877.61,59880.9,0.01967,36.82935647105804,-72.54094341960445,-72.98029553137025,0.4393521117657997,42.994535968122065,39.46006208786137,0
2024-08-09 12:04:00,59896.88,59933.11,59791.1,59933.11,0.13871,42.23610730428692,-68.66619344938226,-72.11747511497265,3.451281665590386,40.401748301258664,41.86988065658619,0
2024-08-09 12:05:00,59958.88,60027.95,59958.88,59978.4,0.07276,46.51276520695248,-61.23502246474527,-69.94098458492718,8.705962120181908,62.04077265180986,48.4790189737302,0
2024-08-09 12:06:00,59995.04,60056.21,59994.96,60023.86,0.01641,50.47621771712272,-51.08860619513143,-66.17050890696804,15.081902711836605,88.73052355476273,63.72434816927708,0
2024-08-09 12:07:00,60067.57,60067.57,60033.02,60033.02,0.28687,51.259936630915185,-41.82621616970573,-61.30165035951558,19.475434189809846,100.0,83.59043206885752,0
2024-08-09 12:08:00,60017.35,60017.35,59965.68,59965.68,0.01358,45.55273400579925,-39.46455770340981,-56.93423182829443,17.46967412488462,87.9233978782485,92.21797381100373,Close Trade
2024-08-09 12:09:00,59929.29,59938.21,59919.84,59924.18,0.02604,42.4183065611671,-40.47505824742984,-53.642397112121515,13.167338864691672,69.2142586599975,85.71255217941534,0
2024-08-09 12:10:00,59923.5,59967.05,59905.66,59946.81,0.07344,44.65468738161644,-39.000264562579105,-50.71397060221304,11.713706039633934,55.23736448985957,70.79167367603519,0
2024-08-09 12:11:00,59929.71,59985.15,59927.69,59973.12,0.01887,47.22119104712664,-35.301548546674894,-47.63148619110542,12.329937644430522,58.76786676371854,61.0731633045252,Open Trade
2024-08-09 12:12:00,59966.97,59984.02,59893.17,59893.17,0.03923,40.99933249768765,-38.37917504649522,-45.781023962183376,7.401848915688156,55.76527752493568,56.590169592837924,Close Trade
2024-08-09 12:13:00,59898.83,59960.19,59898.83,59960.18,0.02289,47.27042620923699,-35.0075242979583,-43.62632402933836,8.618799731380065,60.68914974477225,58.40743134447549,Open Trade
2024-08-09 12:14:00,59964.23,59973.91,59964.23,59966.35,0.03206,47.82036910704598,-31.474777708113834,-41.19601476509346,9.721237056979625,61.29016010038099,59.24819579002965,0
2024-08-09 12:15:00,59964.64,60025.46,59953.89,60025.46,0.01775,52.88958455392997,-23.632941745039716,-37.68340016108271,14.050458416042993,83.00188855741484,68.32706613418937,0
2024-08-09 12:16:00,59960.86,59972.53,59914.4,59960.57,0.0421,47.440871878208995,-22.39614215293841,-34.625948559453846,12.229806406515436,80.74599540886615,75.012681355554,Close Trade
2024-08-09 12:17:00,60003.92,60042.33,60003.92,60030.06,0.00744,53.022292949794114,-15.628551108951797,-30.82646906935344,15.197917960401643,88.69108490114995,84.14632295581032,0
2024-08-09 12:18:00,60025.46,60029.12,60025.46,60026.76,0.0947,52.73588885868997,-10.41145213022537,-26.743465681527827,16.332013551302456,87.89703728909677,85.77803919970428,0
2024-08-09 12:19:00,60048.09,60156.63,60048.09,60091.12,0.43147,57.551683530088425,-1.071201339145773,-21.609012813051418,20.537811473905645,99.20595238794684,91.93135819273118,0
2024-08-09 12:20:00,60103.51,60211.82,60103.51,60211.82,0.02363,64.79609660277922,15.887356418417767,-14.10973896675758,29.99709538517535,99.20595238794684,95.43631402166348,0
2024-08-09 12:21:00,60209.95,60412.97,60209.95,60323.49,1.86302,69.91227838228201,37.901071397500345,-3.707576893905996,41.60864829140634,100.0,99.47063492529789,0
2024-08-09 12:22:00,60228.18,60229.55,60098.8,60098.8,0.46428,53.16885188470899,36.792374342396215,4.3924133533544465,32.399960989041766,80.69673637499712,93.30089625431465,0
2024-08-09 12:23:00,60047.9,60047.9,59865.92,60007.44,0.52765,48.1223047551149,28.216473523236345,9.157225387330827,19.05924813590552,55.57537872648734,78.75737170049482,0
2024-08-09 12:24:00,59998.49,59998.49,59842.24,59842.24,0.76865,40.61531953392293,7.997560077761591,8.92529232541698,-0.9277322476553884,22.242045393154005,52.83805349821282,0
2024-08-09 12:25:00,59872.89,59987.11,59872.89,59980.43,0.43735,47.93240188731963,3.089094442955684,7.758052748924721,-4.668958305969037,16.53716555779511,31.451529892478817,0
2024-08-09 12:26:00,59992.62,60036.64,59992.52,60034.99,0.13134,50.52441324755565,3.5605918009459856,6.918560559328974,-3.357968758382988,19.599504230902177,19.459571727283762,Open Trade
2024-08-09 12:28:00,60067.39,60116.27,60067.39,60096.88,0.07964,53.36071260863255,8.826516035260283,7.300151654515236,1.526364380745047,34.10088773704208,23.412519175246455,0
2024-08-09 12:29:00,60128.48,60139.38,60106.35,60110.31,0.03862,53.97727027371991,13.922992104482546,8.624719744508699,5.298272359973847,40.97858497254525,31.559658980163167,0
2024-08-09 12:30:00,60120.93,60218.57,60120.93,60188.59,0.02483,57.503678768821935,24.001849513646448,11.70014569833625,12.301703815310198,48.919415461005315,41.332962723530876,0
